run_dir,checkpoint_path,teammate_embed_dim,objective_hidden_dim,set_hidden_dim,fusion_hidden_dim,objective_num_layers,ff_expansion,num_set_blocks,dropout,learning_rate,weight_decay,batch_size,label_mapping_enabled,best_epoch,stop_reason,val_accuracy,val_macro_f1,val_weighted_f1,test_accuracy,test_macro_f1,test_weighted_f1,best_val_loss,best_val_macro_f1_during_training
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_120_h128_objh128_te64_fu128_obj2_ff4_blocks5_drop0p3_lr0p0005_wd0p001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_120_h128_objh128_te64_fu128_obj2_ff4_blocks5_drop0p3_lr0p0005_wd0p001/best_model.pt,64,128,128,128,2,4,5,0.3,0.0005,0.001,512,True,4,early_stopping_val_loss_overfit_patience_3,0.6168492244357863,0.5930728352024786,0.6207047585636917,0.5170363926344788,0.4892726490974541,0.5095543773790245,1.5744598927321258,0.5930728352024786
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_342_h256_objh256_te128_fu256_obj1_ff2_blocks5_drop0p3_lr0p0005_wd0p001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_342_h256_objh256_te128_fu256_obj1_ff2_blocks5_drop0p3_lr0p0005_wd0p001/best_model.pt,128,256,256,256,1,2,5,0.3,0.0005,0.001,512,True,2,early_stopping_val_loss_overfit_patience_3,0.6250091891494524,0.5929220039168303,0.6280206423814944,0.5616209946353486,0.5202094335249539,0.5371395724431749,2.04174738018601,0.5929220039168303
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_290_h256_objh256_te128_fu256_obj1_ff2_blocks3_drop0p2_lr0p0005_wd0p0005,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_290_h256_objh256_te128_fu256_obj1_ff2_blocks3_drop0p2_lr0p0005_wd0p0005/best_model.pt,128,256,256,256,1,2,3,0.2,0.0005,0.0005,512,True,1,early_stopping_val_macro_f1_patience_3,0.6172903036094979,0.5927184268022307,0.6209550491137461,0.5758300710453821,0.5461344516487675,0.5586672162702656,1.784124696696246,0.5927184268022307
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_082_h128_objh128_te64_fu128_obj1_ff4_blocks4_drop0p25_lr0p0005_wd0p0005,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_082_h128_objh128_te64_fu128_obj1_ff4_blocks4_drop0p25_lr0p0005_wd0p0005/best_model.pt,64,128,128,128,1,4,4,0.25,0.0005,0.0005,512,True,2,early_stopping_val_loss_overfit_patience_3,0.6157465265015071,0.5868390711276675,0.6178378369075876,0.5342902711323764,0.49469481409115396,0.5091771449720872,1.6449785784438804,0.5868390711276675
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_266_h256_objh256_te128_fu256_obj1_ff2_blocks3_drop0p15_lr0p0005_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_266_h256_objh256_te128_fu256_obj1_ff2_blocks3_drop0p15_lr0p0005_wd0p0001/best_model.pt,128,256,256,256,1,2,3,0.15,0.0005,0.0001,512,True,1,early_stopping_val_macro_f1_patience_3,0.6147908549584651,0.5862440785887867,0.6134792849800966,0.5732202406843555,0.54657251576348,0.5563528449188698,1.7817620988245364,0.5862440785887867
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_160_h192_objh256_te128_fu256_obj2_ff2_blocks4_drop0p15_lr0p0005_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_160_h192_objh256_te128_fu256_obj2_ff2_blocks4_drop0p15_lr0p0005_wd0p0001/best_model.pt,128,256,192,256,2,2,4,0.15,0.0005,0.0001,512,True,1,early_stopping_val_macro_f1_patience_3,0.6178048959788282,0.5860681659666089,0.6186585592841817,0.581267217630854,0.5435770739598244,0.5557940343827761,1.928177292700167,0.5860681659666089
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_334_h256_objh256_te128_fu256_obj2_ff4_blocks4_drop0p25_lr0p0005_wd0p0005,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_334_h256_objh256_te128_fu256_obj2_ff4_blocks4_drop0p25_lr0p0005_wd0p0005/best_model.pt,128,256,256,256,2,4,4,0.25,0.0005,0.0005,512,True,2,early_stopping_val_macro_f1_patience_3,0.623171359258987,0.5850541389053197,0.6123643826981651,0.5350152240104393,0.5075936034014981,0.527915509856514,1.894080537336844,0.5850541389053197
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_159_h192_objh256_te128_fu256_obj2_ff2_blocks4_drop0p15_lr0p001_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_159_h192_objh256_te128_fu256_obj2_ff2_blocks4_drop0p15_lr0p001_wd0p0001/best_model.pt,128,256,192,256,2,2,4,0.15,0.001,0.0001,512,True,1,early_stopping_val_macro_f1_patience_3,0.6177313827832096,0.5846497502539116,0.6169498703865803,0.5503842250253733,0.5105961183247313,0.5176401424515666,2.1439914217701665,0.5846497502539116
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_006_h128_objh128_te64_fu128_obj1_ff2_blocks5_drop0p1_lr0p0005_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_006_h128_objh128_te64_fu128_obj1_ff2_blocks5_drop0p1_lr0p0005_wd0p0001/best_model.pt,64,128,128,128,1,2,5,0.1,0.0005,0.0001,512,True,1,early_stopping_val_macro_f1_patience_3,0.6200838050430052,0.5844723450434977,0.6187670963614912,0.5735827171233869,0.5432951813750648,0.5503574803268055,1.5093925484904536,0.5844723450434977
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_234_h192_objh256_te128_fu256_obj2_ff2_blocks5_drop0p3_lr0p0005_wd0p001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_234_h192_objh256_te128_fu256_obj2_ff2_blocks5_drop0p3_lr0p0005_wd0p001/best_model.pt,128,256,192,256,2,2,5,0.3,0.0005,0.001,512,True,2,early_stopping_val_loss_overfit_patience_3,0.6113357347643902,0.5833564012440883,0.6164593548300982,0.5416847904886183,0.522535417743426,0.5296482114732707,1.5346269364710208,0.5833564012440883
